unit,signal,type,group,DIP40
1,CLCI,I,L0,16
1,VIRQ,NI,L1,28
1,EVNT,NC,L1,30
1,HALT,NI,L1,29
1,ACLO,NI,L1,25
1,DCLO,NI,L1,26
1,AR,NI,L2,23
1,DMR,NI,L2,12
1,SACK,NI,L2,13
1,RPLY,NI,L2,17
1,SP2,NI,,11
1,WAKI,NI,L3,11
1,AD0,NIOZ,R0,9
1,AD1,NIOZ,R0,8
1,AD2,NIOZ,R0,7
1,AD3,NIOZ,R0,6
1,AD4,NIOZ,R0,5
1,AD5,NIOZ,R0,4
1,AD6,NIOZ,R0,3
1,AD7,NIOZ,R0,2
1,AD8,NIOZ,R0,39
1,AD9,NIOZ,R0,38
1,AD10,NIOZ,R0,37
1,AD11,NIOZ,R0,36
1,AD12,NIOZ,R0,35
1,AD13,NIOZ,R0,34
1,AD14,NIOZ,R0,33
1,AD15,NIOZ,R0,32
1,SP1,NOU,,10
1,WRQ,NOU,R1,10
1,DMGO,NOZ,R2,14
1,SYNC,NOZ,R2,21
1,DIN,NOZ,R2,22
1,DOUT,NOZ,R2,18
1,WTBT,NOZ,R2,19
1,IAKO,NOZ,R2,24
1,INIT,NOU,R2,27
1,SEL,NOZ,R2,31
1,CLCO,O,R3,15
0,GND2,P,,1
0,GND1,P,,20
0,VCC,P,,40
