unit,signal,type,group,QIP48
1,INIT,NI,L0,14
1,CS,NI,L0,20
1,WTBT,NI,L0,18
1,RQM,NI,L1,46
1,DMGI,NI,L1,10
1,INR,NI,L2,42
1,MO,I,L3,2
1,DEC,I,L3,6
1,DEA,I,L3,7
1,RW1,I,L3,3
1,RW2,I,L3,4
1,A0,NI,L3,8
1,RDY,NI,L4,17
1,ER,NI,L4,41
1,XTA,IO,R0,23
1,AD0,NIOZ,R1,40
1,AD1,NIOZ,R1,39
1,AD2,NIOZ,R1,38
1,AD3,NIOZ,R1,37
1,AD4,NIOZ,R1,36
1,AD5,NIOZ,R1,35
1,AD6,NIOZ,R1,34
1,AD7,NIOZ,R1,33
1,AD8,NIOZ,R1,32
1,AD9,NIOZ,R1,31
1,AD10,NIOZ,R1,30
1,AD11,NIOZ,R1,29
1,AD12,NIOZ,R1,28
1,AD13,NIOZ,R1,27
1,AD14,NIOZ,R1,26
1,AD15,NIOZ,R1,25
1,EXA16,NOZ,R1,47
1,EXA17,NOZ,R1,1
1,SYNC,NIOZ,R2,22
1,DIN,NIOZ,R2,21
1,DOUT,NIOZ,R2,19
1,RPLY,NIOZ,R2,13
1,DMGO,NO,R3,11
1,DMR,NOZ,R3,9
1,SACK,NOZ,R3,12
1,INT,NO,R4,45
1,CLR,NO,R5,43
1,EWR,NO,R5,5
1,EM,NO,R5,44
1,RD,NO,R6,15
1,WR,NO,R6,16
0,GND,P,,24
0,VCC,P,,48
